九 jiu3 九 kyuu/chuu
功 gong1 功 kou
组 zu3 組 kumi
封 feng1 封 fuu
客 ke4 客 kyaku
言 yan2 言 gen
杯 bei1 杯 hai/sakazuki
色 se4 色 shiki/shoku/iro
累 lei4 累 rui
空 kong1 空 kuu/kara/sora
街 jie1 街 gai
流 liu2 流 ryuu
球 qiu2 球 kyuu
论 lun4 論 ron
物 wu4 物 butsu/mono
友 you3 友 tomo
安 an1 安 yasu
甲 jia3 甲 kan/kinoe/kou
鬼 gui3 鬼 oni
板 ban3 板 ita
公 gong1 公 kou/ooyake
制 zhi4 制 sei
草 cao3 草 sou/kusa
供 gong1 供 tomo
吉 ji2 吉 kichi
岛 dao3 島 tou/shima
员 yuan2 員 in
今 jin1 今 ima/kon
队 dui4 隊 tai
轮 lun2 輪 rin/wa
足 zu2 足 soku/ashi
秀 xiu4 秀 shuu
凡 fan2 凡 bon
然 ran2 然 zen/shika
工 gong1 工 kou
衣 yi1 衣 kinu/koromo
业 ye4 業 gyou/gou/waza
院 yuan4 院 in
曲 qu1 曲 kyoku/kuse
秋 qiu1 秋 aki
牙 ya2 牙 kiba
解 jie3 解 kai
露 lu4 露 tsuyu/arawa
界 jie4 界 kai
付 fu4 付 zuke
散 san4 散 bara
稍 shao1 稍 yaya
滴 di1 滴 teki/shizuku
湖 hu2 湖 mizuumi/ko
码 ma3 碼 yaado
局 ju2 局 kyoku/tsubone
柳 liu3 柳 ryuu/yanagi
稿 gao3 稿 kou
诸 zhu1 諸 sho/moro
肥 fei2 肥 koe
仁 ren2 仁 jin
尊 zun1 尊 son/mikoto
盆 pen2 盆 bon
戒 jie4 戒 kai
责 ze2 責 seki
积 ji1 積 seki
俗 su2 俗 zoku
敌 di2 敵 kataki/teki
岩 yan2 岩 iwa
魂 hun2 魂 kon/tamashii
雄 xiong2 雄 o/osu/yuu
佩 pei4 佩 hai
帽 mao4 帽 bou
鸭 ya1 鴨 kamo
籍 ji2 籍 seki
墨 mo4 墨 sumi
池 chi2 池 ike
瓜 gua1 瓜 uri
勇 yong3 勇 yuu
壁 bi4 壁 kabe
茨 ci2 茨 ibara
席 xi2 席 seki
幻 huan4 幻 maboroshi
纹 wen2 紋 mon
牢 lao2 牢 rou
枫 feng1 楓 fuu/kaede
膜 mo2 膜 maku
痕 hen2 痕 kon
贡 gong4 貢 kou
辈 bei4 輩 bara/hai/tomogara/yakara
激 ji1 激 geki
肺 fei4 肺 hai
迹 ji4 跡 seki/ato
槽 cao2 槽 sou
劈 pi1 劈 heki
卒 zu2 卒 sotsu
袍 pao2 袍 hou
幼 you4 幼 ito
阶 jie1 階 kai/kizahashi
仆 pu1 僕 boku/shimobe
牧 mu4 牧 maki
狱 yu4 獄 goku
窑 yao2 窯 kama
确 que4 確 kaku
喉 hou2 喉 nodo/kon
崖 ya2 崖 gake
崎 qi2 崎 saki
砌 qi4 砌 migiri
菌 jun1 菌 kin
茅 mao2 茅 kaya/chigaya
壬 ren2 壬 jin
襟 jin1 襟 eri
寂 ji4 寂 sabi/jaku
膝 xi1 膝 hiza
涯 ya2 涯 hate
葵 kui2 葵 aoi
侄 zhi2 姪 mei
梓 zi3 梓 azusa
桦 hua4 樺 kaba
橡 xiang4 橡 tochinoki
隅 yu2 隅 sumi
隙 xi4 隙 suki
鞍 an1 鞍 kura
栗 li4 栗 kuri
矛 mao2 矛 hoko
婿 xu4 婿 muko
芜 wu2 蕪 kabu
庇 bi4 庇 hisashi
蓟 ji4 薊 azami
胚 pei1 胚 hai
戟 ji3 戟 geki
雉 zhi4 雉 kiji
姥 lao3 姥 uba
霭 ai3 靄 moya
筏 fa2 筏 ikada
幂 mi4 冪 beki
塾 shu2 塾 juku
柿 shi4 柿 kaki
壕 hao2 壕 gou
翌 yi4 翌 yoku
翳 yi4 翳 sashiha
绀 gan4 紺 kon
鳍 qi2 鰭 hire
伝 yun2 伝 den/tsute
刈 yi4 刈 kari
姫 ji1 姫 hime
檄 xi2 檄 geki
毬 qiu2 毬 iga/kasa
灸 jiu3 灸 kyuu
磔 zhe2 磔 haritsuke/taku
稗 bai4 稗 hie
罠 min2 罠 wana
荚 jia2 莢 saya
著 zhu4 著 cho
蕗 lu4 蕗 fuki
襞 bi4 襞 hida
髭 zi1 髭 hige
鲇 nian2 鮎 ayu
鯥 lu4 鯥 mutsu
鳃 sai1 鰓 era
