一,one
峠,mountain peak
拉,crush
朴,crude
縛,truss
郊,outskirts
箇,counters for things
粋,chic
拭,wipe
篠,bamboo grass
畜,livestock
賠,compensation
鉱,mineral
殴,assault
畿,capital
墜,crash
枯,wither
祉,welfare
濯,laundry
敦,industry
陛,highness
膳,tray
蚊,mosquito
掌,manipulate
斐,beautiful
鴨,wild duck
笹,bamboo grass
徐,gradually
奨,exhort
衰,decline
綿,cotton
疾,rapidly
嘆,sigh
稀,rare
淳,pure
恨,rancor
鐘,bell
盾,shield
把,grasp
摂,vicarious
逐,pursue
潤,wet
秩,regularity
陵,mausoleum
謙,self-effacing
湧,boil
胆,gall bladder
脂,fat
偏,partial
崇,adore
旋,rotation
耕,till
凝,congeal
萌,show symptoms of
菌,germ
瑞,congratulations
骸,dead remains
烏,crow
妨,disturb
濁,voiced
芽,bud
頻,repeatedly
叱,scold
后,empress
窟,cavern
冗,superfluous
爿,split wood
淵,abyss
堤,dike
瓦,tile
瓶,flower pot
勲,meritorious deed
蓋,cover
隙,fissure
悼,lament
柿,persimmon
遥,far off
粒,grains
塞,obstruct
膨,swell
梁,weir
憧,desire
肺,lungs
囚,captured
碑,tombstone
貿,trade
軟,soft
悦,ecstasy
訂,revise
盆,basin
譜,musical score
鋼,steel
漂,drift
霞,be hazy
潔,undefiled
剥,come off
挟,pinch
挿,insert
猪,boar
穏,calm
股,crotch
尖,be pointed
僅,a wee bit
猶,furthermore
諭,rebuke
藍,indigo
璧,sphere
憤,aroused
寮,dormitory
餅,mochi rice cake
磁,magnet
欄,column
恭,respect
畏,fear
隈,corner
縫,sew
妄,delusion
妊,pregnancy
豸,badger
懇,sociable
謡,noh chanting
簿,register
紳,sire
窮,hard up
伎,deed
妥,gentle
辱,embarrass
粘,sticky
怠,neglect
墳,tomb
腫,tumor
戴,be crowned with
陶,pottery
頓,suddenly
漸,steadily
砕,smash
峡,gorge
閑,leisure
鍛,forge
絹,silk
瞳,pupil
粗,coarse
宵,wee hours
班,squad
腸,intestines
擁,embrace
樽,barrel
酬,repay
漬,pickling
爽,refreshing
貌,appearance
喪,miss
喚,yell
妃,queen
蓄,amass
阻,thwart
汰,luxury
鈍,dull
膚,skin
忌,mourning
崖,cliff
幣,cash
拙,bungling
炊,cook
蜂,bee
杏,apricot
薫,fragrant
遍,everywhere
捉,capture
暁,daybreak
錯,confused
茅,miscanthus reed
醜,ugly
瑠,lapis lazuli
抹,rub
襟,collar
虹,rainbow
妬,jealousy
碁,Go
轄,control
疎,alienate
叙,confer
苑,garden
裾,cuff
遷,transition
伺,pay respects
椎,oak
泡,bubbles
俵,bag
叶,grant
篤,fervent
盲,blind
痕,mark
禅,Zen
渓,mountain stream
粛,solemn
楼,watchtower
慌,disconcerted
胴,trunk
硝,nitrate
但,however
培,cultivate
桁,beam
殻,husk
傑,greatness
賄,bribe
漠,vague
塊,clod
嫉,envy
芋,potato
坪,two-mat area
霜,frost
膜,membrane
鉛,lead
顎,jaw
隷,slave
苛,torment
蔑,ignore
厘,thousandth
煩,anxiety
艶,glossy
沸,seethe
賭,gamble
擦,grate
餌,bait
滴,drip
猟,game-hunting
詮,discussion
零,zero
聡,wise
尿,urine
伐,fell
肢,limb
騰,inflation
岬,headland
娠,with child
璃,glassy
肘,elbow
媒,mediator
栽,plantation
韻,rhyme
准,quasi-
吟,versify
嗣,heir
慕,pining
庶,commoner
遮,intercept
渦,whirlpool
剰,surplus
肯,agreement
弄,tamper with
糧,provisions
朽,decay
郭,enclosure
践,tread
詠,recitation
擬,mimic
穀,cereals
詣,visit a temple
罵,insult
循,sequential
戚,grieve
礁,reef
麓,foot of a mountain
錠,lock
蛍,lightning-bug
紺,dark blue
咽,throat
穫,harvest
繊,slender
鯨,whale
酌,bartending
堕,degenerate
屏,wall
塀,fence
侮,scorn
蛮,barbarian
唆,tempt
賜,grant
廉,bargain
藻,seaweed
濫,excessive
箸,chopsticks
蜜,honey
玩,trifle with
諾,consent
疫,epidemic
壱,one (falsification prevention)
冥,dark
剖,divide
愁,distress
庸,commonplace
飢,hungry
嘲,ridicule
槽,vat
餓,starve
硫,sulphur
肪,obese
侶,companion
衡,equilibrium
赴,proceed
窃,stealth
舶,liner
雌,feminine
赦,pardon
酢,vinegar
扶,aid
勃,rise
捻,twist
梢,treetops
茎,stalk
斑,blemish
慨,rue
奔,bustle
俸,salary
累,accumulate
髄,marrow
淫,lewdness
挫,sprain
臆,timidity
溺,drown
蔽,cover
迅,swift
勅,imperial order
弧,arc
錬,tempering
凹,concave
虜,captive
慄,fear
弊,abuse
脊,stature
謹,discreet
瞭,clear
喝,hoarse
酵,fermentation
逝,departed
嗅,smell
憾,remorse
柵,fence
匿,hide
胎,womb
畔,paddy-ridge
刹,temple
閥,clique
棺,coffin
