突: 穴 大
届: 尸 由
屯: #is0
豚: 月 豕
曇: 日 雲
鈍: 金 屯
内: 冂 人
縄: 糸 亀
南: 十 冂 丷 干 #is4
軟: 車 欠
難: 𦰩 隹
二: #is0, we don't care about '1' part
尼: 尸 匕
弐: 一 弍
肉: 内 人
日: #is0
乳: 孚 乚
入: #is0
如: 女 口
尿: 尸 水
任: 亻 壬
妊: 女 壬
忍: 刃 心
認: 言 忍
寧: 寍 丁
猫: 犭 苗
熱: 埶 灬
年: 午 厂
念: 今 心
燃: 火 然
粘: 米 占
悩: 忄 ⺍ 凶 #is3
濃: ⺡ 農
納: 糸 內
能: 䏍 匕
脳: 肉 ⺍ 凶 #is3
農: 曲 辰
把: 扌 巴
覇: 覀 䩗
波: 氵 皮
派: 氵 𠂢
破: 石 皮
婆: 波 女
馬: 三 丨 灬 #is3
